Symbol,Price,Type,Strike,DTE,"Exp Date",Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
$IUXX,6669.64,Call,7600.00,3,01/18/19,0.00,0.28,0.55,0.05,1,1609,0,0.00%,01/10/19
$IUXX,6669.64,Put,6450.00,59,03/15/19,151.30,152.75,154.20,211.07,1,44,0.02,24.72%,01/14/19
$IUXX,6669.64,Put,5700.00,31,02/15/19,12.20,13.1,14.00,12.65,8,81,0.1,33.41%,01/15/19
$IUXX,6669.64,Call,6500.00,59,03/15/19,338.90,342,345.10,340.90,3,188,0.02,21.45%,01/15/19
$IUXX,6669.64,Call,7675.00,31,02/15/19,0.00,0.2,0.40,0.25,1,15,0.07,0.00%,01/14/19
$IUXX,6669.64,Put,7325.00,3,01/18/19,648.90,658.75,668.60,658.82,2,8,0.25,57.52%,01/15/19
$IUXX,6669.64,Put,6550.00,31,02/15/19,119.40,121.7,124.00,128.80,32,34,0.94,24.67%,01/15/19
$IUXX,6669.64,Put,6775.00,3,01/18/19,114.20,118.8,123.40,147.95,13,48,0.27,35.55%,01/15/19
$IUXX,6669.64,Call,7500.00,3,01/18/19,0.00,0.15,0.30,0.20,3,237,0.01,0.00%,01/14/19
$IUXX,6669.64,Put,6750.00,31,02/15/19,196.40,200.65,204.90,203.50,3,3,1,21.85%,01/15/19
$IUXX,6669.64,Call,7475.00,59,03/15/19,6.10,6.85,7.60,8.84,1,10,0.1,15.40%,01/11/19
$IUXX,6669.64,Put,5925.00,31,02/15/19,23.10,24.05,25.00,26.90,2,7,0.29,32.04%,01/15/19
$IUXX,6669.64,Call,7975.00,59,03/15/19,0.15,0.43,0.70,1.10,5,26,0.19,15.76%,01/09/19
$IUXX,6669.64,Put,6300.00,3,01/18/19,0.55,1.18,1.80,1.80,235,318,0.74,32.26%,01/15/19
$IUXX,6669.64,Call,6630.00,3,01/18/19,65.40,68.9,72.40,56.30,1,60,0.02,13.07%,01/15/19
$IUXX,6669.64,Put,6275.00,3,01/18/19,0.35,0.98,1.60,1.51,28,80,0.35,33.22%,01/15/19
$IUXX,6669.64,Put,6800.00,3,01/18/19,135.30,140.3,145.30,156.00,32,401,0.08,30.68%,01/15/19
$IUXX,6669.64,Put,6270.00,3,01/18/19,0.35,0.95,1.55,9.94,1,2,0.5,31.38%,01/14/19
$IUXX,6669.64,Put,5940.00,3,01/18/19,0.00,0.33,0.65,3.48,5,27,0.19,0.00%,01/09/19
$IUXX,6669.64,Call,7400.00,3,01/18/19,0.05,0.15,0.25,0.25,4,401,0.01,41.78%,01/15/19
$IUXX,6669.64,Call,6760.00,3,01/18/19,11.00,12.4,13.80,8.21,13,1,13,15.12%,01/15/19
$IUXX,6669.64,Call,7775.00,59,03/15/19,1.10,1.68,2.25,1.35,2,9,0.22,15.59%,01/15/19
$IUXX,6669.64,Put,6625.00,31,02/15/19,144.90,147.1,149.30,149.02,13,96,0.14,23.10%,01/15/19
$IUXX,6669.64,Put,5170.00,3,01/18/19,0.00,0.28,0.55,0.26,2,4,0.5,0.00%,01/11/19
$IUXX,6669.64,Call,8050.00,31,02/15/19,0.00,0.15,0.30,0.25,1,9,0.11,21.92%,01/15/19
$IUXX,6669.64,Call,7300.00,31,02/15/19,2.95,3.38,3.80,3.50,2,83,0.02,15.80%,01/15/19
$IUXX,6669.64,Put,5500.00,3,01/18/19,0.00,0.28,0.55,0.05,6,261,0.02,65.04%,01/15/19
$IUXX,6669.64,Call,6850.00,31,02/15/19,75.50,76.85,78.20,57.70,5,69,0.07,15.57%,01/15/19
$IUXX,6669.64,Put,5800.00,59,03/15/19,43.20,44.05,44.90,44.42,14,35,0.4,30.50%,01/15/19
$IUXX,6669.64,Call,6480.00,3,01/18/19,185.90,191.65,197.40,109.70,1,6,0.17,14.37%,01/14/19
$IUXX,6669.64,Put,6700.00,59,03/15/19,237.20,239.55,241.90,240.15,1,239,0,22.59%,01/15/19
$IUXX,6669.64,Call,6275.00,59,03/15/19,505.30,509.05,512.80,499.30,12,90,0.13,21.78%,01/15/19
$IUXX,6669.64,Call,6870.00,3,01/18/19,0.90,1.6,2.30,0.71,5,5,1,18.03%,01/14/19
$IUXX,6669.64,Call,6350.00,59,03/15/19,447.50,451.05,454.60,412.15,1,2,0.5,22.58%,01/11/19
$IUXX,6669.64,Call,7050.00,31,02/15/19,21.50,22.4,23.30,24.70,16,36,0.44,16.97%,01/15/19
$IUXX,6669.64,Call,7825.00,59,03/15/19,0.80,1.05,1.30,2.15,1,14,0.07,15.69%,01/09/19
$IUXX,6669.64,Put,6825.00,3,01/18/19,157.80,163.1,168.40,281.55,2,27,0.07,22.74%,01/14/19
$IUXX,6669.64,Put,7400.00,3,01/18/19,723.80,733.65,743.50,754.88,7,109,0.06,88.77%,01/15/19
$IUXX,6669.64,Put,6400.00,31,02/15/19,81.30,83.25,85.20,85.72,23,168,0.14,25.92%,01/15/19
$IUXX,6669.64,Put,5075.00,59,03/15/19,8.70,9.5,10.30,15.67,4,2,2,36.50%,01/14/19
$IUXX,6669.64,Call,7075.00,59,03/15/19,56.30,57.3,58.30,45.00,1,9,0.11,17.01%,01/14/19
$IUXX,6669.64,Call,7475.00,3,01/18/19,0.00,0.28,0.55,0.35,3,46,0.07,0.00%,01/14/19
$IUXX,6669.64,Call,4900.00,59,03/15/19,1768.50,1774.2,1779.90,1693.00,1,1,1,0.00%,01/10/19
$IUXX,6669.64,Put,6430.00,3,01/18/19,2.95,3.78,4.60,49.50,2,3,0.67,25.80%,01/10/19
$IUXX,6669.64,Call,6400.00,59,03/15/19,409.80,413.35,416.90,398.90,1,58,0.02,20.63%,01/15/19
$IUXX,6669.64,Put,6375.00,59,03/15/19,131.70,133.15,134.60,140.30,2,28,0.07,26.17%,01/15/19
$IUXX,6669.64,Put,5675.00,31,02/15/19,11.20,12.15,13.10,13.07,1,13,0.08,34.38%,01/15/19
$IUXX,6669.64,Put,6590.00,3,01/18/19,19.70,21.2,22.70,30.50,1,30,0.03,26.27%,01/15/19
$IUXX,6669.64,Put,6175.00,3,01/18/19,0.00,0.53,1.05,0.79,10,75,0.13,37.08%,01/15/19
$IUXX,6669.64,Put,5600.00,59,03/15/19,28.50,29.3,30.10,30.60,13,65,0.2,32.46%,01/15/19
$IUXX,6669.64,Put,5975.00,31,02/15/19,26.60,27.8,29.00,30.42,8,23,0.35,31.41%,01/15/19
$IUXX,6669.64,Call,6750.00,59,03/15/19,184.90,187.1,189.30,150.65,24,60,0.4,19.55%,01/14/19
$IUXX,6669.64,Put,5950.00,3,01/18/19,0.00,0.33,0.65,0.80,2,134,0.01,0.00%,01/14/19
$IUXX,6669.64,Put,5000.00,31,02/15/19,1.30,1.85,2.40,1.92,9,61,0.15,41.63%,01/15/19
$IUXX,6669.64,Put,5600.00,31,02/15/19,9.00,9.85,10.70,9.30,72,251,0.29,34.32%,01/15/19
$IUXX,6669.64,Call,7025.00,3,01/18/19,0.10,0.38,0.65,0.60,2,33,0.06,24.98%,01/15/19
$IUXX,6669.64,Put,6210.00,3,01/18/19,0.10,0.65,1.20,6.40,2,7,0.29,33.84%,01/14/19
$IUXX,6669.64,Call,8400.00,3,01/18/19,0.00,0.03,0.05,0.15,6,72,0.08,82.05%,01/15/19
$IUXX,6669.64,Put,7000.00,3,01/18/19,325.30,334.7,344.10,360.25,6,202,0.03,55.83%,01/15/19
$IUXX,6669.64,Call,6200.00,59,03/15/19,565.10,569.05,573.00,556.07,2,93,0.02,23.39%,01/10/19
$IUXX,6669.64,Call,6830.00,3,01/18/19,2.80,3.55,4.30,3.75,10,10,1,17.84%,01/11/19
